condition;complexity;f1_exact_M_SD;f1_exact_Mdn;prec_exact_M_SD;prec_exact_Mdn;rec_exact_M_SD;rec_exact_Mdn;f1_fuzzy_M_SD;f1_fuzzy_Mdn;prec_fuzzy_M_SD;prec_fuzzy_Mdn;rec_fuzzy_M_SD;rec_fuzzy_Mdn;f1_substring_M_SD;f1_substring_Mdn;prec_substring_M_SD;prec_substring_Mdn;rec_substring_M_SD;rec_substring_Mdn
C1;L1;0.250 (0.150);0,25;0.258 (0.173);0,25;0.266 (0.155);0,2857;0.308 (0.190);0,3077;0.329 (0.225);0,2857;0.312 (0.185);0,2857;0.356 (0.174);0,3333;0.423 (0.278);0,375;0.347 (0.149);0,3333
C1;L2;0.043 (0.045);0,0357;0.041 (0.046);0,0278;0.050 (0.054);0,0385;0.063 (0.069);0,0571;0.070 (0.117);0,0556;0.070 (0.076);0,0588;0.047 (0.046);0,0571;0.045 (0.046);0,0541;0.055 (0.055);0,05
C1;L3;0.013 (0.025);0,0;0.012 (0.023);0,0;0.014 (0.031);0,0;0.013 (0.025);0,0;0.013 (0.023);0,0;0.015 (0.031);0,0;0.015 (0.026);0,0;0.014 (0.023);0,0;0.016 (0.031);0,0
C2;L1;0.688 (0.207);0,6667;0.619 (0.207);0,6;0.787 (0.212);0,8333;0.761 (0.165);0,8;0.693 (0.177);0,7143;0.865 (0.162);0,9;0.731 (0.210);0,7619;0.669 (0.207);0,7143;0.817 (0.218);0,8889
C2;L2;0.324 (0.267);0,2667;0.277 (0.224);0,25;0.401 (0.336);0,3125;0.474 (0.259);0,4889;0.408 (0.231);0,4545;0.585 (0.316);0,5714;0.672 (0.231);0,75;0.585 (0.233);0,6364;0.821 (0.258);0,9
C2;L3;0.297 (0.351);0,0656;0.267 (0.325);0,0606;0.351 (0.409);0,0714;0.351 (0.356);0,1842;0.315 (0.330);0,1707;0.413 (0.412);0,2105;0.452 (0.392);0,52;0.407 (0.361);0,5217;0.526 (0.448);0,8286
C3;L1;0.700 (0.190);0,6957;0.638 (0.189);0,6364;0.787 (0.193);0,8;0.768 (0.168);0,7692;0.709 (0.179);0,75;0.857 (0.152);0,9;0.755 (0.151);0,7692;0.695 (0.160);0,7273;0.850 (0.146);0,8889
C3;L2;0.340 (0.261);0,2273;0.287 (0.219);0,1923;0.427 (0.330);0,3;0.464 (0.266);0,5294;0.396 (0.233);0,4545;0.581 (0.330);0,6667;0.604 (0.253);0,6875;0.522 (0.247);0,5556;0.747 (0.291);0,8333
C3;L3;0.235 (0.344);0,0588;0.221 (0.326);0,05;0.255 (0.368);0,0714;0.323 (0.353);0,1842;0.300 (0.334);0,1707;0.355 (0.380);0,2;0.440 (0.409);0,52;0.408 (0.381);0,5909;0.484 (0.446);0,4643
C4;L1;0.689 (0.178);0,7143;0.687 (0.157);0,7143;0.717 (0.236);0,75;0.701 (0.183);0,7273;0.707 (0.167);0,7143;0.722 (0.236);0,75;0.730 (0.179);0,75;0.747 (0.158);0,75;0.741 (0.235);0,8
C4;L2;0.349 (0.323);0,2222;0.328 (0.294);0,2609;0.411 (0.397);0,2727;0.386 (0.351);0,2222;0.365 (0.324);0,375;0.448 (0.417);0,3;0.492 (0.333);0,6364;0.457 (0.299);0,5789;0.589 (0.419);0,8235
C4;L3;0.106 (0.238);0,0;0.106 (0.212);0,0;0.118 (0.273);0,0;0.132 (0.269);0,0;0.128 (0.239);0,0;0.148 (0.309);0,0;0.160 (0.318);0,0;0.157 (0.291);0,0;0.174 (0.351);0,0
