Effekt;Koeffizient (B);Robuster SE;z-Wert;p-Wert;[0.025;0.975];Exp(B) (Multiplikator)
Baseline (Intercept);0,783;0,040;19,526;< 0,001;0.7043278400610284;0.8615004119383733;2,188
Architektur C2;-0,889;0,141;-6,290;< 0,001;-1.1665087444267632;-0.6122676475672189;0,411
Architektur C3;-0,908;0,127;-7,143;< 0,001;-1.1566149195147222;-0.6585387226603221;0,404
Architektur C4;-0,356;0,171;-2,080;0,038;-0.6905615347187825;-0.020493883697834114;0,701
Komplexität L2;0,244;0,041;5,923;< 0,001;0.16324482579077312;0.3247086397364506;1,276
Komplexität L3;0,275;0,040;6,800;< 0,001;0.19561380382225008;0.35405674839450657;1,316
C2 × L2;0,560;0,161;3,485;< 0,001;0.24511264510035952;0.8749508633530729;1,751
C3 × L2;0,568;0,149;3,802;< 0,001;0.27527806333736266;0.8610719280974268;1,765
C4 × L2;0,423;0,206;2,050;0,040;0.018570448554618257;0.8265585662747776;1,526
C2 × L3;0,579;0,172;3,362;< 0,001;0.24145281639555094;0.9166316708802902;1,784
C3 × L3;0,688;0,155;4,442;< 0,001;0.38453879321310347;0.9917508136435149;1,990
C4 × L3;0,493;0,182;2,711;0,007;0.13655565186065854;0.8492484899396;1,637
