Prädiktor;b;SE;95% CI;z-Wert;p-Wert
Intercept (Baseline: C2, L1);18,84;4,58;"[9,87; 27,81]";4,11;< ,001
Architektur C3;0,80;4,29;"[-7,61; 9,21]";0,19;0,852
Architektur C4;-7,20;4,29;"[-15,61; 1,21]";-1,68;0,093
Komplexität L2;17,50;6,48;"[4,81; 30,19]";2,70;0,007
Komplexität L3;36,44;6,61;"[23,47; 49,40]";5,51;< ,001
C3 × L2;2,82;6,07;"[-9,08; 14,71]";0,46;0,642
C4 × L2;0,07;6,07;"[-11,83; 11,96]";0,01;0,991
C3 × L3;0,71;6,20;"[-11,44; 12,86]";0,11;0,909
C4 × L3;-12,03;6,20;"[-24,18; 0,12]";-1,94;0,052
Varianz Dokument-ID (Intercept);1,28;0,33;;;
